ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 5399000, 0, 40960, 2621440, 640, 64, 64
rtr_G0R0, send_packet_count, port0, Accumulator, 5399000, 0, 640, 640, 640, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 5399000, 0, 4119000, 212432280360, 321, 2034, 300274
rtr_G0R0, width_adj_count, port0, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 5399000, 0, 40960, 2621440, 640, 64, 64
rtr_G0R0, send_packet_count, port1, Accumulator, 5399000, 0, 640, 640, 640, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 5399000, 0, 4119000, 189543979042, 321, 2191, 286944
rtr_G0R0, width_adj_count, port1, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 5399000, 0, 40960, 2621440, 640, 64, 64
rtr_G0R0, send_packet_count, port2, Accumulator, 5399000, 0, 640, 640, 640, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 5399000, 0, 4119000, 182565754436, 326, 2052, 272281
rtr_G0R0, width_adj_count, port2, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 5399000, 0, 40960, 2621440, 640, 64, 64
rtr_G0R0, send_packet_count, port3, Accumulator, 5399000, 0, 640, 640, 640, 1, 1
rtr_G0R0, output_port_stalls, port3, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port3, Accumulator, 5399000, 0, 4119000, 181816365206, 326, 2114, 262950
rtr_G0R0, width_adj_count, port3, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port4, Accumulator, 5399000, 0, 30720, 1966080, 480, 64, 64
rtr_G0R0, send_packet_count, port4, Accumulator, 5399000, 0, 480, 480, 480, 1, 1
rtr_G0R0, output_port_stalls, port4, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port4, Accumulator, 5399000, 0, 4439000, 236379235822, 250, 2014, 216295
rtr_G0R0, width_adj_count, port4, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port5, Accumulator, 5399000, 0, 51200, 3276800, 800, 64, 64
rtr_G0R0, send_packet_count, port5, Accumulator, 5399000, 0, 800, 800, 800, 1, 1
rtr_G0R0, output_port_stalls, port5, Accumulator, 5399000, 0, 0, 0, 0, 0, 0
