ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
testNic_0:networkIF, packet_latency, , Accumulator, 8078000, 0, 3754136, 7009148704, 2560, 85, 3001
testNic_0:networkIF, send_bit_count, , Accumulator, 8078000, 0, 163840, 10485760, 2560, 64, 64
testNic_0:networkIF, output_port_stalls, , Accumulator, 8078000, 0, 0, 0, 0, 0, 0
testNic_0:networkIF, idle_time, , Accumulator, 8078000, 0, 166000, 1442000000, 42, 2000, 28000
testNic_1:networkIF, packet_latency, , Accumulator, 8078000, 0, 3754056, 7009092064, 2560, 83, 3001
testNic_1:networkIF, send_bit_count, , Accumulator, 8078000, 0, 163840, 10485760, 2560, 64, 64
testNic_1:networkIF, output_port_stalls, , Accumulator, 8078000, 0, 0, 0, 0, 0, 0
testNic_1:networkIF, idle_time, , Accumulator, 8078000, 0, 152000, 1314000000, 36, 2000, 26000
testNic_2:networkIF, packet_latency, , Accumulator, 8078000, 0, 3753808, 7008686992, 2560, 83, 3001
testNic_2:networkIF, send_bit_count, , Accumulator, 8078000, 0, 163840, 10485760, 2560, 64, 64
testNic_2:networkIF, output_port_stalls, , Accumulator, 8078000, 0, 0, 0, 0, 0, 0
testNic_2:networkIF, idle_time, , Accumulator, 8078000, 0, 154000, 1382000000, 39, 1000, 28000
testNic_3:networkIF, packet_latency, , Accumulator, 8078000, 0, 3753796, 7008744088, 2560, 83, 3001
testNic_3:networkIF, send_bit_count, , Accumulator, 8078000, 0, 163840, 10485760, 2560, 64, 64
testNic_3:networkIF, output_port_stalls, , Accumulator, 8078000, 0, 0, 0, 0, 0, 0
testNic_3:networkIF, idle_time, , Accumulator, 8078000, 0, 138000, 1294000000, 30, 1000, 26000
testNic_4:networkIF, packet_latency, , Accumulator, 8078000, 0, 3753420, 7008109000, 2560, 83, 3001
testNic_4:networkIF, send_bit_count, , Accumulator, 8078000, 0, 163840, 10485760, 2560, 64, 64
testNic_4:networkIF, output_port_stalls, , Accumulator, 8078000, 0, 0, 0, 0, 0, 0
testNic_4:networkIF, idle_time, , Accumulator, 8078000, 0, 122000, 1266000000, 27, 2000, 28000
testNic_5:networkIF, packet_latency, , Accumulator, 8078000, 0, 3753676, 7008751232, 2560, 83, 3001
testNic_5:networkIF, send_bit_count, , Accumulator, 8078000, 0, 163840, 10485760, 2560, 64, 64
testNic_5:networkIF, output_port_stalls, , Accumulator, 8078000, 0, 0, 0, 0, 0, 0
testNic_5:networkIF, idle_time, , Accumulator, 8078000, 0, 112000, 1202000000, 20, 2000, 26000
testNic_6:networkIF, packet_latency, , Accumulator, 8078000, 0, 3753336, 7008059336, 2560, 83, 3001
