ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0x0, send_bit_count, port0, Accumulator, 1936000, 0, 30720, 1966080, 480, 64, 64
rtr_0x0x0, send_packet_count, port0, Accumulator, 1936000, 0, 480, 480, 480, 1, 1
rtr_0x0x0, output_port_stalls, port0, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port0, Accumulator, 1936000, 0, 976000, 152352000000, 120, 4000, 384000
rtr_0x0x0, width_adj_count, port0, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port1, Accumulator, 1936000, 0, 10240, 655360, 160, 64, 64
rtr_0x0x0, send_packet_count, port1, Accumulator, 1936000, 0, 160, 160, 160, 1, 1
rtr_0x0x0, output_port_stalls, port1, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port1, Accumulator, 1936000, 0, 1616000, 194400000000, 161, 4000, 428000
rtr_0x0x0, width_adj_count, port1, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port2, Accumulator, 1936000, 0, 30720, 1966080, 480, 64, 64
rtr_0x0x0, send_packet_count, port2, Accumulator, 1936000, 0, 480, 480, 480, 1, 1
rtr_0x0x0, output_port_stalls, port2, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port2, Accumulator, 1936000, 0, 976000, 100176000000, 105, 4000, 304000
rtr_0x0x0, width_adj_count, port2, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port3, Accumulator, 1936000, 0, 10240, 655360, 160, 64, 64
rtr_0x0x0, send_packet_count, port3, Accumulator, 1936000, 0, 160, 160, 160, 1, 1
rtr_0x0x0, output_port_stalls, port3, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port3, Accumulator, 1936000, 0, 1616000, 130912000000, 99, 4000, 324000
rtr_0x0x0, width_adj_count, port3, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port4, Accumulator, 1936000, 0, 30720, 1966080, 480, 64, 64
rtr_0x0x0, send_packet_count, port4, Accumulator, 1936000, 0, 480, 480, 480, 1, 1
rtr_0x0x0, output_port_stalls, port4, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port4, Accumulator, 1936000, 0, 976000, 50240000000, 109, 4000, 194000
rtr_0x0x0, width_adj_count, port4, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port5, Accumulator, 1936000, 0, 10240, 655360, 160, 64, 64
rtr_0x0x0, send_packet_count, port5, Accumulator, 1936000, 0, 160, 160, 160, 1, 1
rtr_0x0x0, output_port_stalls, port5, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port5, Accumulator, 1936000, 0, 1616000, 101288000000, 92, 4000, 228000
rtr_0x0x0, width_adj_count, port5, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port6, Accumulator, 1936000, 0, 40960, 2621440, 640, 64, 64
rtr_0x0x0, send_packet_count, port6, Accumulator, 1936000, 0, 640, 640, 640, 1, 1
rtr_0x0x0, output_port_stalls, port6, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port6, Accumulator, 1936000, 0, 656000, 44704000000, 70, 4000, 148000
rtr_0x0x0, width_adj_count, port6, Accumulator, 1936000, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port0, Accumulator, 1936000, 0, 4, 4, 4, 1, 1
rtr_0x0x0, xbar_stalls, port1, Accumulator, 1936000, 0, 152, 152, 152, 1, 1
rtr_0x0x0, xbar_stalls, port2, Accumulator, 1936000, 0, 45, 45, 45, 1, 1
rtr_0x0x0, xbar_stalls, port3, Accumulator, 1936000, 0, 221, 221, 221, 1, 1
rtr_0x0x0, xbar_stalls, port4, Accumulator, 1936000, 0, 80, 80, 80, 1, 1
rtr_0x0x0, xbar_stalls, port5, Accumulator, 1936000, 0, 244, 244, 244, 1, 1
rtr_0x0x0, xbar_stalls, port6, Accumulator, 1936000, 0, 92, 92, 92, 1, 1
testNic_0:networkIF, packet_latency, , Accumulator, 1936000, 0, 245186, 102123480, 640, 87, 679
