ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_14x7x5, send_bit_count, port0, Accumulator, 497296000, 38, 5898240, 377487360, 92160, 64, 64
rtr_14x7x5, send_packet_count, port0, Accumulator, 497296000, 38, 92160, 92160, 92160, 1, 1
rtr_14x7x5, output_port_stalls, port0, Accumulator, 497296000, 38, 14674000, 32844000000, 6987, 2000, 12000
rtr_14x7x5, idle_time, port0, Accumulator, 497296000, 38, 277080000, 25975207392000000, 10112, 4000, 161160000
rtr_14x7x5, width_adj_count, port0, Accumulator, 497296000, 38, 0, 0, 0, 0, 0
rtr_14x7x5, send_bit_count, port1, Accumulator, 497296000, 38, 4587520, 293601280, 71680, 64, 64
rtr_14x7x5, send_packet_count, port1, Accumulator, 497296000, 38, 71680, 71680, 71680, 1, 1
rtr_14x7x5, output_port_stalls, port1, Accumulator, 497296000, 38, 0, 0, 0, 0, 0
rtr_14x7x5, idle_time, port1, Accumulator, 497296000, 38, 353936000, 75772632000000, 14081, 4000, 4590000
rtr_14x7x5, width_adj_count, port1, Accumulator, 497296000, 38, 0, 0, 0, 0, 0
rtr_14x7x5, send_bit_count, port2, Accumulator, 497296000, 38, 5898240, 377487360, 92160, 64, 64
rtr_14x7x5, send_packet_count, port2, Accumulator, 497296000, 38, 92160, 92160, 92160, 1, 1
rtr_14x7x5, output_port_stalls, port2, Accumulator, 497296000, 38, 0, 0, 0, 0, 0
rtr_14x7x5, idle_time, port2, Accumulator, 497296000, 38, 312976000, 6516480000000, 37021, 4000, 1644000
rtr_14x7x5, width_adj_count, port2, Accumulator, 497296000, 38, 0, 0, 0, 0, 0
rtr_14x7x5, send_bit_count, port3, Accumulator, 497296000, 38, 4587520, 293601280, 71680, 64, 64
rtr_14x7x5, send_packet_count, port3, Accumulator, 497296000, 38, 71680, 71680, 71680, 1, 1
rtr_14x7x5, output_port_stalls, port3, Accumulator, 497296000, 38, 0, 0, 0, 0, 0
rtr_14x7x5, idle_time, port3, Accumulator, 497296000, 38, 353936000, 14255576000000, 35211, 4000, 2930000
rtr_14x7x5, width_adj_count, port3, Accumulator, 497296000, 38, 0, 0, 0, 0, 0
