ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu, TotalCycles, core_0, Accumulator, 19000, 0, 19, 361, 1, 19, 19
cpu, CyclesWithIssue, core_0, Accumulator, 19000, 0, 18, 324, 1, 18, 18
cpu, FloatsRead, core_0, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, FloatsWritten, core_0, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesRead, core_0, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesWritten, core_0, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, BytesRead, core_0, Accumulator, 19000, 0, 14208, 201867264, 1, 14208, 14208
cpu, BytesWritten, core_0, Accumulator, 19000, 0, 6020, 36240400, 1, 6020, 6020
cpu, FloatsExec, core_0, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, TLBHitsPerCore, core_0, Accumulator, 19000, 0, 3903, 15233409, 1, 3903, 3903
cpu, TLBMissesPerCore, core_0, Accumulator, 19000, 0, 88, 7744, 1, 88, 88
cpu, TotalCycles, core_1, Accumulator, 19000, 0, 19, 361, 1, 19, 19
cpu, CyclesWithIssue, core_1, Accumulator, 19000, 0, 18, 324, 1, 18, 18
cpu, FloatsRead, core_1, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, FloatsWritten, core_1, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesRead, core_1, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesWritten, core_1, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, BytesRead, core_1, Accumulator, 19000, 0, 14208, 201867264, 1, 14208, 14208
cpu, BytesWritten, core_1, Accumulator, 19000, 0, 6020, 36240400, 1, 6020, 6020
cpu, FloatsExec, core_1, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, TLBHitsPerCore, core_1, Accumulator, 19000, 0, 3903, 15233409, 1, 3903, 3903
cpu, TLBMissesPerCore, core_1, Accumulator, 19000, 0, 88, 7744, 1, 88, 88
cpu, TotalCycles, core_2, Accumulator, 19000, 0, 19, 361, 1, 19, 19
cpu, CyclesWithIssue, core_2, Accumulator, 19000, 0, 18, 324, 1, 18, 18
cpu, FloatsRead, core_2, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, FloatsWritten, core_2, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesRead, core_2, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesWritten, core_2, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, BytesRead, core_2, Accumulator, 19000, 0, 14208, 201867264, 1, 14208, 14208
cpu, BytesWritten, core_2, Accumulator, 19000, 0, 6020, 36240400, 1, 6020, 6020
cpu, FloatsExec, core_2, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, TLBHitsPerCore, core_2, Accumulator, 19000, 0, 3903, 15233409, 1, 3903, 3903
cpu, TLBMissesPerCore, core_2, Accumulator, 19000, 0, 88, 7744, 1, 88, 88
cpu, TotalCycles, core_3, Accumulator, 19000, 0, 19, 361, 1, 19, 19
cpu, CyclesWithIssue, core_3, Accumulator, 19000, 0, 18, 324, 1, 18, 18
cpu, FloatsRead, core_3, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, FloatsWritten, core_3, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesRead, core_3, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesWritten, core_3, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, BytesRead, core_3, Accumulator, 19000, 0, 14208, 201867264, 1, 14208, 14208
cpu, BytesWritten, core_3, Accumulator, 19000, 0, 6020, 36240400, 1, 6020, 6020
cpu, FloatsExec, core_3, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, TLBHitsPerCore, core_3, Accumulator, 19000, 0, 3903, 15233409, 1, 3903, 3903
cpu, TLBMissesPerCore, core_3, Accumulator, 19000, 0, 88, 7744, 1, 88, 88
cpu, TotalCycles, core_4, Accumulator, 19000, 0, 19, 361, 1, 19, 19
cpu, CyclesWithIssue, core_4, Accumulator, 19000, 0, 18, 324, 1, 18, 18
cpu, FloatsRead, core_4, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, FloatsWritten, core_4, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesRead, core_4, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, DoublesWritten, core_4, Accumulator, 19000, 0, 0, 0, 1, 0, 0
cpu, BytesRead, core_4, Accumulator, 19000, 0, 14208, 201867264, 1, 14208, 14208
