ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu0:memory, ReadInFlight, , Accumulator, 20067092000, 0, 2885331, 2885331, 2885331, 1, 1
cpu0:memory, ReadPending, , Accumulator, 20067092000, 0, 2885331, 2885331, 2885331, 1, 1
cpu1:memory, ReadInFlight, , Accumulator, 20067092000, 0, 2885331, 2885331, 2885331, 1, 1
cpu1:memory, ReadPending, , Accumulator, 20067092000, 0, 2885331, 2885331, 2885331, 1, 1
cpu1:memory, ReadBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, WriteInFlight, , Accumulator, 20067092000, 0, 787906, 787906, 787906, 1, 1
cpu1:memory, WritePending, , Accumulator, 20067092000, 0, 787906, 787906, 787906, 1, 1
cpu1:memory, WriteBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, FlushInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, FlushPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, ReadLockInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, ReadLockPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, ReadBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, WriteInFlight, , Accumulator, 20067092000, 0, 787906, 787906, 787906, 1, 1
cpu1:memory, ReadLockBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, WriteUnlockInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, WriteUnlockPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, WriteUnlockBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, LoadLinkInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, LoadLinkPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, StoreCondInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, StoreCondPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, CustomInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, WritePending, , Accumulator, 20067092000, 0, 787906, 787906, 787906, 1, 1
cpu0:memory, WriteBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, FlushInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, FlushPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, ReadLockInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, ReadLockPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, ReadLockBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, WriteUnlockInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, CustomPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, CustomBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, FencePending, , Accumulator, 20067092000, 0, 221, 221, 221, 1, 1
cpu1:memory, AMOAddBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOAddPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOXorBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOXorPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOAndBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOAndPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOOrBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOOrPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMinBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMinPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMaxBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMaxPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMinuBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, WriteUnlockPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, WriteUnlockBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, LoadLinkInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMinuPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMaxuBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOMaxuPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOSwapBytes, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu1:memory, AMOSwapPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, LoadLinkPending, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
cpu0:memory, StoreCondInFlight, , Accumulator, 20067092000, 0, 0, 0, 0, 0, 0
